,model_type,clf,parameters,auc-roc,accuracy,precision,recall,runtime,confusion_matrix,y_pred_probs
10,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.539315155,0.70203056,0,0,3.448920727,"[[62301     0]
 [26443     0]]",[0.30200906 0.3008371  0.30122205 ... 0.30122205 0.30122205 0.30200906]
11,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.59115472,0.70203056,0,0,35.92607546,"[[62301     0]
 [26443     0]]",[0.30127934 0.30104801 0.30107501 ... 0.30112822 0.3009566  0.30129325]
12,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 1}",0.499998236,0.701951681,0.294117647,0.000189086,0.107076168,"[[62289    12]
 [26438     5]]",[0.30299329 0.30299329 0.30299329 ... 0.30299329 0.30299329 0.30299329]
13,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 10}",0.508672726,0.70203056,0,0,0.478338718,"[[62301     0]
 [26443     0]]",[0.30163537 0.30163537 0.30163537 ... 0.30163537 0.30163537 0.30163537]
14,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 100}",0.540741886,0.70203056,0,0,3.987837315,"[[62301     0]
 [26443     0]]",[0.30215486 0.30114617 0.30114617 ... 0.30114617 0.30114617 0.3027439 ]
15,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 20, 'n_estimators': 1000}",0.590844323,0.70203056,0,0,32.72926497,"[[62301     0]
 [26443     0]]",[0.30095148 0.30126083 0.30119152 ... 0.30132466 0.3010902  0.30150144]
16,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1}",0.500016051,0.70203056,0,0,0.078055382,"[[62301     0]
 [26443     0]]",[0.30217469 0.30217469 0.30217469 ... 0.30217469 0.30217469 0.30217469]
17,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.500330073,0.70203056,0,0,0.332238436,"[[62301     0]
 [26443     0]]",[0.3007953 0.3007953 0.3007953 ... 0.3007953 0.3007953 0.3007953]
18,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.512569617,0.70203056,0,0,2.930342913,"[[62301     0]
 [26443     0]]",[0.30123204 0.30123204 0.30123204 ... 0.30123204 0.30123204 0.30123204]
19,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.553560533,0.70203056,0,0,28.08698964,"[[62301     0]
 [26443     0]]",[0.30119986 0.30126751 0.30124649 ... 0.30106229 0.30116224 0.30177705]
20,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.500127192,0.702086902,0.727272727,0.000302538,0.074033737,"[[62298     3]
 [26435     8]]",[0.30140933 0.30140933 0.30140933 ... 0.30140933 0.30140933 0.30140933]
21,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",0.500566741,0.70203056,0,0,0.331254959,"[[62301     0]
 [26443     0]]",[0.30155699 0.30155699 0.30155699 ... 0.30155699 0.30155699 0.30155699]
22,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.51143922,0.70203056,0,0,2.849007607,"[[62301     0]
 [26443     0]]",[0.30220677 0.30128068 0.30128068 ... 0.30128068 0.30255077 0.30220677]
23,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.556150392,0.70203056,0,0,28.1760354,"[[62301     0]
 [26443     0]]",[0.30097449 0.30133429 0.30119539 ... 0.30096847 0.30126966 0.30126966]
24,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.499983402,0.70203056,0,0,0.078056097,"[[62301     0]
 [26443     0]]",[0.30023427 0.30023427 0.30023427 ... 0.30023427 0.30023427 0.30023427]
25,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.500012076,0.70203056,0,0,0.337225437,"[[62301     0]
 [26443     0]]",[0.30115875 0.30115875 0.30115875 ... 0.30115875 0.30115875 0.30115875]
26,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.512193481,0.70203056,0,0,2.964108706,"[[62301     0]
 [26443     0]]",[0.29819978 0.30123002 0.30123002 ... 0.30123002 0.30123002 0.30123002]
27,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.553278928,0.70203056,0,0,28.25310493,"[[62301     0]
 [26443     0]]",[0.30122207 0.30125725 0.30124265 ... 0.30125725 0.30124265 0.30177495]
28,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 20, 'n_estimators': 1}",0.500009119,0.701951681,0.315789474,0.000226903,0.076034069,"[[62288    13]
 [26437     6]]",[0.30147998 0.30147998 0.30147998 ... 0.30147998 0.30147998 0.30147998]
29,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 20, 'n_estimators': 10}",0.501305678,0.70203056,0,0,0.330232859,"[[62301     0]
 [26443     0]]",[0.30143655 0.30143655 0.30143655 ... 0.30143655 0.30143655 0.30143655]
30,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 20, 'n_estimators': 100}",0.50978118,0.70203056,0,0,2.84002018,"[[62301     0]
 [26443     0]]",[0.30193347 0.30127635 0.30127635 ... 0.30127635 0.30067255 0.30272231]
31,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 20, 'n_estimators': 1000}",0.556924394,0.70203056,0,0,28.17303014,"[[62301     0]
 [26443     0]]",[0.30121778 0.30116424 0.30104355 ... 0.30121077 0.30113701 0.30119658]
32,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1}",0.502163172,0.702064365,0.555555556,0.000567258,0.081056356,"[[62289    12]
 [26428    15]]",[0.30296441 0.30296441 0.30296441 ... 0.30296441 0.30296441 0.30296441]
33,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.528879471,0.70203056,0,0,0.416954517,"[[62301     0]
 [26443     0]]",[0.30338655 0.30087474 0.30087474 ... 0.30087474 0.29503806 0.30087474]
34,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.581623163,0.70203056,0,0,3.662589788,"[[62301     0]
 [26443     0]]",[0.30181576 0.30081584 0.30081584 ... 0.30081584 0.30112161 0.30156148]
35,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.601263312,0.70203056,0,0,37.08875465,"[[62301     0]
 [26443     0]]",[0.30154347 0.30077223 0.30091743 ... 0.30113641 0.29949123 0.3041949 ]
36,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",0.500504111,0.70209817,0.575,0.000869795,0.083171368,"[[62284    17]
 [26420    23]]",[0.30252726 0.30252726 0.30252726 ... 0.30252726 0.30252726 0.30252726]
37,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",0.522938455,0.70203056,0,0,0.427283764,"[[62301     0]
 [26443     0]]",[0.30036676 0.30036676 0.30036676 ... 0.30036676 0.29425949 0.30036676]
38,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.581543621,0.70203056,0,0,3.66760993,"[[62301     0]
 [26443     0]]",[0.29686443 0.30041021 0.3011354  ... 0.30159401 0.3011354  0.3011354 ]
39,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.602876841,0.70203056,0,0,37.05235004,"[[62301     0]
 [26443     0]]",[0.30178441 0.30057126 0.30097324 ... 0.30121567 0.3001425  0.30481039]
40,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.500842125,0.701985486,0.388888889,0.00026472,0.087061167,"[[62290    11]
 [26436     7]]",[0.30169809 0.30169809 0.30169809 ... 0.30169809 0.30169809 0.30169809]
41,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.535784367,0.70203056,0,0,0.439311504,"[[62301     0]
 [26443     0]]",[0.29109399 0.30031132 0.30031132 ... 0.30031132 0.30031132 0.30727332]
42,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.581315283,0.70203056,0,0,3.834707737,"[[62301     0]
 [26443     0]]",[0.30182298 0.30050932 0.30060931 ... 0.3009887  0.29837611 0.3021371 ]
